trial,epoch_trial,reaction_times,accuracy,p_optimal,reward_code,subj_id,lambda_val
88,8.0,0.25,True,0.65,0,786,10.0
89,9.0,0.251,True,0.65,0,786,10.0
90,10.0,0.278,True,0.65,0,786,10.0
91,0.0,0.25,False,0.65,0,786,10.0
92,1.0,0.264,False,0.65,0,786,10.0
93,2.0,0.34199999999999997,False,0.65,0,786,10.0
94,3.0,0.279,True,0.65,0,786,10.0
95,4.0,0.25,False,0.65,0,786,10.0
96,5.0,0.279,True,0.65,0,786,10.0
97,6.0,0.333,True,0.65,0,786,10.0
98,7.0,0.293,True,0.65,0,786,10.0
99,8.0,0.25,False,0.65,0,786,10.0
100,0.0,0.303,False,0.65,0,786,10.0
101,1.0,0.327,False,0.65,0,786,10.0
102,2.0,0.25,True,0.65,0,786,10.0
103,3.0,0.309,False,0.65,0,786,10.0
104,4.0,0.28300000000000003,False,0.65,0,786,10.0
105,5.0,0.25,True,0.65,0,786,10.0
106,6.0,0.25,True,0.65,0,786,10.0
107,7.0,0.25,True,0.65,0,786,10.0
108,8.0,0.269,True,0.65,0,786,10.0
109,9.0,0.275,False,0.65,0,786,10.0
110,10.0,0.319,False,0.65,0,786,10.0
111,11.0,0.28300000000000003,False,0.65,0,786,10.0
112,0.0,0.375,True,0.65,0,786,10.0
113,1.0,0.26,False,0.65,0,786,10.0
114,2.0,0.265,False,0.65,0,786,10.0
115,3.0,0.25,False,0.65,0,786,10.0
116,4.0,0.281,False,0.65,0,786,10.0
117,5.0,0.27,False,0.65,0,786,10.0
118,6.0,0.274,False,0.65,0,786,10.0
119,7.0,0.297,False,0.65,0,786,10.0
120,8.0,0.355,False,0.65,0,786,10.0
121,0.0,0.25,True,0.65,0,786,10.0
122,1.0,0.25,True,0.65,0,786,10.0
123,2.0,0.329,False,0.65,0,786,10.0
124,3.0,0.469,True,0.65,0,786,10.0
125,4.0,0.25,True,0.65,0,786,10.0
126,5.0,0.257,True,0.65,0,786,10.0
127,6.0,0.258,True,0.65,0,786,10.0
128,7.0,0.272,True,0.65,0,786,10.0
129,8.0,0.253,True,0.65,0,786,10.0
130,9.0,0.278,True,0.65,0,786,10.0
131,10.0,0.266,True,0.65,0,786,10.0
132,11.0,0.25,True,0.65,0,786,10.0
133,12.0,0.25,True,0.65,0,786,10.0
134,13.0,0.526,True,0.65,0,786,10.0
135,0.0,0.304,False,0.65,0,786,10.0
136,1.0,0.25,False,0.65,0,786,10.0
137,2.0,0.266,False,0.65,0,786,10.0
138,3.0,0.262,False,0.65,0,786,10.0
139,4.0,0.335,True,0.65,0,786,10.0
140,5.0,0.279,True,0.65,0,786,10.0
141,6.0,0.25,False,0.65,0,786,10.0
142,7.0,0.301,True,0.65,0,786,10.0
143,8.0,0.25,False,0.65,0,786,10.0
144,9.0,0.28300000000000003,True,0.65,0,786,10.0
145,10.0,0.25,False,0.65,0,786,10.0
146,11.0,0.263,False,0.65,0,786,10.0
147,0.0,0.25,True,0.65,0,786,10.0
148,1.0,0.315,False,0.65,0,786,10.0
149,2.0,0.25,True,0.65,0,786,10.0
150,3.0,0.33899999999999997,False,0.65,0,786,10.0
151,4.0,0.331,False,0.65,0,786,10.0
152,5.0,0.25,True,0.65,0,786,10.0
153,6.0,0.25,True,0.65,0,786,10.0
154,7.0,0.331,False,0.65,0,786,10.0
155,8.0,0.449,True,0.65,0,786,10.0
156,9.0,0.266,True,0.65,0,786,10.0
157,0.0,0.277,False,0.65,0,786,10.0
158,1.0,0.25,False,0.65,0,786,10.0
159,2.0,0.25,False,0.65,0,786,10.0
160,3.0,0.41300000000000003,True,0.65,0,786,10.0
161,4.0,0.26,False,0.65,0,786,10.0
162,5.0,0.25,False,0.65,0,786,10.0
163,6.0,0.266,False,0.65,0,786,10.0
164,7.0,0.287,True,0.65,0,786,10.0
165,8.0,0.311,True,0.65,0,786,10.0
166,9.0,0.277,True,0.65,0,786,10.0
167,10.0,0.25,False,0.65,0,786,10.0
168,11.0,0.289,True,0.65,0,786,10.0
169,12.0,0.303,True,0.65,0,786,10.0
170,0.0,0.289,False,0.65,0,786,10.0
171,1.0,0.303,False,0.65,0,786,10.0
172,2.0,0.291,False,0.65,0,786,10.0
173,3.0,0.297,False,0.65,0,786,10.0
174,4.0,0.25,True,0.65,0,786,10.0
175,5.0,0.28600000000000003,True,0.65,0,786,10.0
176,0.0,0.319,True,0.65,0,786,10.0
177,1.0,0.316,False,0.65,0,786,10.0
178,2.0,0.25,False,0.65,0,786,10.0
179,3.0,0.278,False,0.65,0,786,10.0
180,4.0,0.25,False,0.65,0,786,10.0
181,5.0,0.301,True,0.65,0,786,10.0
182,6.0,0.301,True,0.65,0,786,10.0
183,0.0,0.299,False,0.65,0,786,10.0
184,1.0,0.315,False,0.65,0,786,10.0
185,2.0,0.25,True,0.65,0,786,10.0
186,3.0,0.313,False,0.65,0,786,10.0
187,4.0,0.315,False,0.65,0,786,10.0
188,5.0,0.28500000000000003,False,0.65,0,786,10.0
189,6.0,0.25,True,0.65,0,786,10.0
190,7.0,0.25,True,0.65,0,786,10.0
191,8.0,0.347,False,0.65,0,786,10.0
192,9.0,0.273,True,0.65,0,786,10.0
193,0.0,0.25,False,0.65,0,786,10.0
194,1.0,0.29,False,0.65,0,786,10.0
195,2.0,0.304,False,0.65,0,786,10.0
196,3.0,0.26,False,0.65,0,786,10.0
197,4.0,0.25,False,0.65,0,786,10.0
198,5.0,0.263,False,0.65,0,786,10.0
199,6.0,0.25,False,0.65,0,786,10.0
200,7.0,0.25,False,0.65,0,786,10.0
201,8.0,0.28500000000000003,False,0.65,0,786,10.0
202,0.0,0.293,False,0.65,0,786,10.0
203,1.0,0.333,False,0.65,0,786,10.0
204,2.0,0.25,True,0.65,0,786,10.0
205,3.0,0.299,False,0.65,0,786,10.0
206,4.0,0.307,False,0.65,0,786,10.0
207,5.0,0.279,False,0.65,0,786,10.0
208,6.0,0.25,True,0.65,0,786,10.0
209,7.0,0.317,False,0.65,0,786,10.0
210,8.0,0.51,True,0.65,0,786,10.0
211,9.0,0.309,False,0.65,0,786,10.0
212,10.0,0.25,True,0.65,0,786,10.0
213,11.0,0.25,True,0.65,0,786,10.0
214,12.0,0.25,True,0.65,0,786,10.0
215,0.0,0.25,False,0.65,0,786,10.0
216,1.0,0.25,False,0.65,0,786,10.0
217,2.0,0.276,False,0.65,0,786,10.0
218,3.0,0.298,False,0.65,0,786,10.0
219,4.0,0.321,True,0.65,0,786,10.0
220,5.0,0.313,True,0.65,0,786,10.0
221,6.0,0.28300000000000003,True,0.65,0,786,10.0
222,7.0,0.275,True,0.65,0,786,10.0
223,8.0,0.279,True,0.65,0,786,10.0
224,9.0,0.279,True,0.65,0,786,10.0
225,10.0,0.25,False,0.65,0,786,10.0
226,11.0,0.455,True,0.65,0,786,10.0
227,0.0,0.273,False,0.65,0,786,10.0
228,1.0,0.357,False,0.65,0,786,10.0
229,2.0,0.25,True,0.65,0,786,10.0
230,3.0,0.353,False,0.65,0,786,10.0
231,4.0,0.41200000000000003,True,0.65,0,786,10.0
232,5.0,0.262,True,0.65,0,786,10.0
233,6.0,0.28600000000000003,True,0.65,0,786,10.0
234,7.0,0.25,True,0.65,0,786,10.0
235,8.0,0.289,False,0.65,0,786,10.0
236,9.0,0.271,True,0.65,0,786,10.0
237,10.0,0.25,True,0.65,0,786,10.0
238,11.0,0.25,True,0.65,0,786,10.0
239,12.0,0.25,True,0.65,0,786,10.0
240,0.0,0.25,False,0.65,0,786,10.0
241,1.0,0.369,True,0.65,0,786,10.0
242,2.0,0.323,False,0.65,0,786,10.0
243,3.0,0.266,False,0.65,0,786,10.0
244,4.0,0.25,False,0.65,0,786,10.0
245,5.0,0.271,False,0.65,0,786,10.0
246,6.0,0.25,False,0.65,0,786,10.0
247,7.0,0.299,True,0.65,0,786,10.0
248,8.0,0.27,False,0.65,0,786,10.0
249,0.0,0.25,True,0.65,0,786,10.0
250,1.0,0.25,True,0.65,0,786,10.0
251,2.0,0.25,True,0.65,0,786,10.0
252,3.0,0.262,True,0.65,0,786,10.0
253,4.0,0.255,True,0.65,0,786,10.0
254,5.0,0.276,True,0.65,0,786,10.0
255,6.0,0.607,True,0.65,0,786,10.0
256,7.0,0.442,True,0.65,0,786,10.0
257,8.0,0.259,True,0.65,0,786,10.0
258,0.0,0.265,False,0.65,0,786,10.0
259,1.0,0.28400000000000003,False,0.65,0,786,10.0
260,2.0,0.25,False,0.65,0,786,10.0
261,3.0,0.289,False,0.65,0,786,10.0
262,4.0,0.306,False,0.65,0,786,10.0
263,5.0,0.25,False,0.65,0,786,10.0
264,6.0,0.25,False,0.65,0,786,10.0
265,7.0,0.263,False,0.65,0,786,10.0
266,8.0,0.332,False,0.65,0,786,10.0
267,9.0,0.25,False,0.65,0,786,10.0
268,10.0,0.25,False,0.65,0,786,10.0
269,11.0,0.269,False,0.65,0,786,10.0
270,12.0,0.25,False,0.65,0,786,10.0
271,0.0,0.25,True,0.65,0,786,10.0
272,1.0,0.279,True,0.65,0,786,10.0
273,2.0,0.25,True,0.65,0,786,10.0
274,3.0,0.271,False,0.65,0,786,10.0
275,4.0,0.268,True,0.65,0,786,10.0
276,5.0,0.265,True,0.65,0,786,10.0
277,6.0,0.277,True,0.65,0,786,10.0
278,0.0,0.25,False,0.65,0,786,10.0
279,1.0,0.262,False,0.65,0,786,10.0
280,2.0,0.25,False,0.65,0,786,10.0
281,3.0,0.25,False,0.65,0,786,10.0
282,4.0,0.345,False,0.65,0,786,10.0
283,5.0,0.517,True,0.65,0,786,10.0
284,6.0,0.299,True,0.65,0,786,10.0
285,7.0,0.25,False,0.65,0,786,10.0
286,8.0,0.301,True,0.65,0,786,10.0
287,9.0,0.315,True,0.65,0,786,10.0
288,10.0,0.25,False,0.65,0,786,10.0
289,0.0,0.355,False,0.65,0,786,10.0
290,1.0,0.323,False,0.65,0,786,10.0
291,2.0,0.273,False,0.65,0,786,10.0
292,3.0,0.297,False,0.65,0,786,10.0
293,4.0,0.25,True,0.65,0,786,10.0
294,5.0,0.325,False,0.65,0,786,10.0
295,6.0,0.25,True,0.65,0,786,10.0
296,0.0,0.28300000000000003,True,0.65,0,786,10.0
297,1.0,0.364,False,0.65,0,786,10.0
298,2.0,0.25,False,0.65,0,786,10.0
299,3.0,0.276,False,0.65,0,786,10.0
300,4.0,0.25,False,0.65,0,786,10.0
301,5.0,0.25,False,0.65,0,786,10.0
302,6.0,0.273,False,0.65,0,786,10.0
303,7.0,0.33,False,0.65,0,786,10.0
304,8.0,0.7070000000000001,True,0.65,0,786,10.0
305,9.0,0.327,True,0.65,0,786,10.0
306,10.0,0.25,False,0.65,0,786,10.0
307,11.0,0.325,True,0.65,0,786,10.0
308,12.0,0.319,True,0.65,0,786,10.0
309,13.0,0.345,True,0.65,0,786,10.0
310,0.0,0.25,True,0.65,0,786,10.0
311,1.0,0.301,False,0.65,0,786,10.0
312,2.0,0.25,True,0.65,0,786,10.0
313,3.0,0.297,False,0.65,0,786,10.0
314,4.0,0.40900000000000003,False,0.65,0,786,10.0
315,5.0,0.25,True,0.65,0,786,10.0
316,6.0,0.28300000000000003,True,0.65,0,786,10.0
317,7.0,0.25,True,0.65,0,786,10.0
318,8.0,0.25,True,0.65,0,786,10.0
319,9.0,0.277,True,0.65,0,786,10.0
320,10.0,0.251,True,0.65,0,786,10.0
321,0.0,0.385,True,0.65,0,786,10.0
322,1.0,0.25,False,0.65,0,786,10.0
323,2.0,0.297,True,0.65,0,786,10.0
324,3.0,0.28500000000000003,True,0.65,0,786,10.0
325,4.0,0.303,True,0.65,0,786,10.0
326,5.0,0.333,True,0.65,0,786,10.0
327,6.0,0.273,True,0.65,0,786,10.0
328,7.0,0.25,False,0.65,0,786,10.0
329,0.0,0.279,False,0.65,0,786,10.0
330,1.0,0.307,False,0.65,0,786,10.0
331,2.0,0.297,False,0.65,0,786,10.0
332,3.0,0.25,True,0.65,0,786,10.0
333,4.0,0.25,True,0.65,0,786,10.0
334,5.0,0.25,True,0.65,0,786,10.0
335,6.0,0.255,True,0.65,0,786,10.0
336,7.0,0.291,True,0.65,0,786,10.0
337,8.0,0.345,False,0.65,0,786,10.0
338,0.0,0.25,False,0.65,0,786,10.0
339,1.0,0.295,True,0.65,0,786,10.0
340,2.0,0.25,False,0.65,0,786,10.0
341,3.0,0.271,True,0.65,0,786,10.0
342,4.0,0.252,False,0.65,0,786,10.0
343,5.0,0.315,True,0.65,0,786,10.0
344,6.0,0.281,True,0.65,0,786,10.0
345,7.0,0.307,True,0.65,0,786,10.0
346,8.0,0.281,True,0.65,0,786,10.0
347,9.0,0.279,True,0.65,0,786,10.0
348,0.0,0.275,False,0.65,0,786,10.0
349,1.0,0.289,False,0.65,0,786,10.0
350,2.0,0.297,False,0.65,0,786,10.0
351,3.0,0.325,False,0.65,0,786,10.0
352,4.0,0.28500000000000003,True,0.65,0,786,10.0
353,5.0,0.252,True,0.65,0,786,10.0
354,6.0,0.25,True,0.65,0,786,10.0
355,7.0,0.25,True,0.65,0,786,10.0
356,8.0,0.25,True,0.65,0,786,10.0
357,0.0,0.28,False,0.65,0,786,10.0
358,1.0,0.25,False,0.65,0,786,10.0
359,2.0,0.266,False,0.65,0,786,10.0
360,3.0,0.25,False,0.65,0,786,10.0
361,4.0,0.27,False,0.65,0,786,10.0
362,5.0,0.272,False,0.65,0,786,10.0
363,6.0,0.25,False,0.65,0,786,10.0
364,7.0,0.25,False,0.65,0,786,10.0
365,8.0,0.25,False,0.65,0,786,10.0
366,9.0,0.261,False,0.65,0,786,10.0
367,10.0,0.358,False,0.65,0,786,10.0
368,11.0,0.25,False,0.65,0,786,10.0
369,12.0,0.25,False,0.65,0,786,10.0
370,13.0,0.27,False,0.65,0,786,10.0
371,14.0,0.25,False,0.65,0,786,10.0
372,15.0,0.288,False,0.65,0,786,10.0
373,0.0,0.316,True,0.65,0,786,10.0
374,1.0,0.319,False,0.65,0,786,10.0
375,2.0,0.297,False,0.65,0,786,10.0
376,3.0,0.303,False,0.65,0,786,10.0
377,4.0,0.303,False,0.65,0,786,10.0
378,5.0,0.28500000000000003,False,0.65,0,786,10.0
379,6.0,0.303,False,0.65,0,786,10.0
380,7.0,0.28300000000000003,False,0.65,0,786,10.0
381,8.0,0.25,True,0.65,0,786,10.0
382,0.0,0.683,True,0.65,0,786,10.0
383,1.0,0.32,False,0.65,0,786,10.0
384,2.0,0.255,False,0.65,0,786,10.0
385,3.0,0.25,False,0.65,0,786,10.0
386,4.0,0.251,False,0.65,0,786,10.0
387,5.0,0.25,False,0.65,0,786,10.0
388,6.0,0.25,False,0.65,0,786,10.0
389,7.0,0.295,False,0.65,0,786,10.0
390,8.0,0.264,False,0.65,0,786,10.0
391,9.0,0.289,False,0.65,0,786,10.0
392,0.0,0.266,True,0.65,0,786,10.0
393,1.0,0.385,False,0.65,0,786,10.0
394,2.0,0.309,False,0.65,0,786,10.0
395,3.0,0.303,False,0.65,0,786,10.0
396,4.0,0.25,True,0.65,0,786,10.0
397,5.0,0.34099999999999997,False,0.65,0,786,10.0
398,6.0,0.281,False,0.65,0,786,10.0
399,7.0,0.25,True,0.65,0,786,10.0
0,0.0,0.601,False,0.65,0,787,10.0
1,1.0,0.25,False,0.65,0,787,10.0
2,2.0,0.268,False,0.65,0,787,10.0
3,3.0,0.25,False,0.65,0,787,10.0
4,4.0,0.25,False,0.65,0,787,10.0
5,5.0,0.25,False,0.65,0,787,10.0
6,6.0,0.273,False,0.65,0,787,10.0
7,7.0,0.25,False,0.65,0,787,10.0
8,8.0,0.257,False,0.65,0,787,10.0
9,9.0,0.25,False,0.65,0,787,10.0
10,0.0,0.288,True,0.65,0,787,10.0
11,1.0,0.274,True,0.65,0,787,10.0
12,2.0,0.25,True,0.65,0,787,10.0
13,3.0,0.291,False,0.65,0,787,10.0
14,4.0,0.265,True,0.65,0,787,10.0
15,5.0,0.258,True,0.65,0,787,10.0
16,6.0,0.25,True,0.65,0,787,10.0
17,7.0,0.261,True,0.65,0,787,10.0
18,8.0,0.29,True,0.65,0,787,10.0
19,9.0,0.288,True,0.65,0,787,10.0
20,0.0,0.25,False,0.65,0,787,10.0
21,1.0,0.261,False,0.65,0,787,10.0
22,2.0,0.26,False,0.65,0,787,10.0
23,3.0,0.351,True,0.65,0,787,10.0
24,4.0,0.376,False,0.65,0,787,10.0
25,5.0,0.303,True,0.65,0,787,10.0
26,6.0,0.291,True,0.65,0,787,10.0
27,7.0,0.25,False,0.65,0,787,10.0
28,8.0,0.28300000000000003,True,0.65,0,787,10.0
29,0.0,0.25,True,0.65,0,787,10.0
30,1.0,0.287,False,0.65,0,787,10.0
31,2.0,0.348,True,0.65,0,787,10.0
32,3.0,0.252,True,0.65,0,787,10.0
33,4.0,0.25,True,0.65,0,787,10.0
34,0.0,0.259,False,0.65,0,787,10.0
35,1.0,0.279,False,0.65,0,787,10.0
36,2.0,0.334,False,0.65,0,787,10.0
37,3.0,0.25,False,0.65,0,787,10.0
38,4.0,0.305,False,0.65,0,787,10.0
39,5.0,0.317,False,0.65,0,787,10.0
40,6.0,0.28,False,0.65,0,787,10.0
41,0.0,0.41300000000000003,False,0.65,0,787,10.0
42,1.0,0.291,False,0.65,0,787,10.0
43,2.0,0.25,True,0.65,0,787,10.0
44,3.0,0.25,True,0.65,0,787,10.0
45,4.0,0.301,False,0.65,0,787,10.0
46,5.0,0.25,True,0.65,0,787,10.0
47,6.0,0.295,False,0.65,0,787,10.0
48,7.0,0.281,True,0.65,0,787,10.0
49,8.0,0.251,True,0.65,0,787,10.0
50,0.0,0.28300000000000003,False,0.65,0,787,10.0
51,1.0,0.269,False,0.65,0,787,10.0
52,2.0,0.257,False,0.65,0,787,10.0
53,3.0,0.25,False,0.65,0,787,10.0
54,4.0,0.25,False,0.65,0,787,10.0
55,5.0,0.25,False,0.65,0,787,10.0
56,6.0,0.28,False,0.65,0,787,10.0
57,7.0,0.273,False,0.65,0,787,10.0
58,0.0,0.377,False,0.65,0,787,10.0
59,1.0,0.317,False,0.65,0,787,10.0
60,2.0,0.25,True,0.65,0,787,10.0
61,3.0,0.309,False,0.65,0,787,10.0
62,4.0,0.287,False,0.65,0,787,10.0
63,5.0,0.25,True,0.65,0,787,10.0
64,6.0,0.269,False,0.65,0,787,10.0
65,7.0,0.25,True,0.65,0,787,10.0
66,8.0,0.25,True,0.65,0,787,10.0
67,9.0,0.41500000000000004,False,0.65,0,787,10.0
68,10.0,0.267,True,0.65,0,787,10.0
69,11.0,0.263,True,0.65,0,787,10.0
70,12.0,0.272,True,0.65,0,787,10.0
71,0.0,0.25,False,0.65,0,787,10.0
72,1.0,0.292,False,0.65,0,787,10.0
73,2.0,0.303,False,0.65,0,787,10.0
74,3.0,0.536,False,0.65,0,787,10.0
75,4.0,0.25,False,0.65,0,787,10.0
76,5.0,0.25,False,0.65,0,787,10.0
77,0.0,,False,0.65,0,787,10.0
78,1.0,0.325,False,0.65,0,787,10.0
79,2.0,0.295,False,0.65,0,787,10.0
80,3.0,0.289,False,0.65,0,787,10.0
81,4.0,0.347,False,0.65,0,787,10.0
82,5.0,0.293,False,0.65,0,787,10.0
83,6.0,0.279,False,0.65,0,787,10.0
84,7.0,0.291,False,0.65,0,787,10.0
85,8.0,0.28300000000000003,False,0.65,0,787,10.0
86,0.0,0.309,True,0.65,0,787,10.0
87,1.0,0.361,True,0.65,0,787,10.0
88,2.0,0.268,False,0.65,0,787,10.0
89,3.0,0.25,False,0.65,0,787,10.0
90,4.0,0.272,False,0.65,0,787,10.0
91,5.0,0.25,False,0.65,0,787,10.0
92,6.0,0.259,False,0.65,0,787,10.0
93,7.0,0.251,False,0.65,0,787,10.0
94,8.0,0.34299999999999997,False,0.65,0,787,10.0
95,0.0,0.287,True,0.65,0,787,10.0
96,1.0,0.25,True,0.65,0,787,10.0
97,2.0,0.279,False,0.65,0,787,10.0
98,3.0,0.267,True,0.65,0,787,10.0
99,4.0,0.276,True,0.65,0,787,10.0
100,5.0,0.256,True,0.65,0,787,10.0
101,6.0,0.25,True,0.65,0,787,10.0
102,7.0,0.255,True,0.65,0,787,10.0
103,8.0,0.25,True,0.65,0,787,10.0
104,9.0,0.269,True,0.65,0,787,10.0
105,10.0,0.309,True,0.65,0,787,10.0
106,11.0,0.325,False,0.65,0,787,10.0
107,12.0,0.28300000000000003,False,0.65,0,787,10.0
108,0.0,0.25,False,0.65,0,787,10.0
109,1.0,0.301,True,0.65,0,787,10.0
110,2.0,0.34299999999999997,True,0.65,0,787,10.0
111,3.0,0.25,False,0.65,0,787,10.0
112,4.0,0.275,True,0.65,0,787,10.0
113,5.0,0.25,False,0.65,0,787,10.0
114,6.0,0.25,False,0.65,0,787,10.0
115,7.0,0.299,True,0.65,0,787,10.0
116,8.0,0.25,False,0.65,0,787,10.0
117,9.0,0.28600000000000003,False,0.65,0,787,10.0
118,0.0,0.263,True,0.65,0,787,10.0
119,1.0,0.28500000000000003,True,0.65,0,787,10.0
120,2.0,0.25,True,0.65,0,787,10.0
121,3.0,0.25,True,0.65,0,787,10.0
122,4.0,0.25,True,0.65,0,787,10.0
123,5.0,0.25,True,0.65,0,787,10.0
124,6.0,0.274,True,0.65,0,787,10.0
125,7.0,0.287,True,0.65,0,787,10.0
126,8.0,0.25,True,0.65,0,787,10.0
127,9.0,0.275,True,0.65,0,787,10.0
128,10.0,0.5429999999999999,True,0.65,0,787,10.0
129,11.0,0.335,True,0.65,0,787,10.0
130,0.0,0.262,False,0.65,0,787,10.0
131,1.0,0.25,False,0.65,0,787,10.0
132,2.0,0.275,False,0.65,0,787,10.0
133,3.0,0.25,False,0.65,0,787,10.0
134,4.0,0.315,True,0.65,0,787,10.0
135,5.0,0.297,True,0.65,0,787,10.0
136,6.0,0.25,False,0.65,0,787,10.0
137,0.0,0.268,True,0.65,0,787,10.0
138,1.0,0.288,True,0.65,0,787,10.0
139,2.0,0.322,True,0.65,0,787,10.0
140,3.0,0.258,True,0.65,0,787,10.0
141,4.0,0.262,True,0.65,0,787,10.0
142,5.0,0.25,True,0.65,0,787,10.0
143,6.0,0.275,True,0.65,0,787,10.0
144,7.0,0.287,True,0.65,0,787,10.0
145,8.0,0.311,False,0.65,0,787,10.0
146,9.0,0.305,False,0.65,0,787,10.0
147,0.0,0.25,False,0.65,0,787,10.0
148,1.0,0.299,True,0.65,0,787,10.0
149,2.0,0.25,False,0.65,0,787,10.0
150,3.0,0.303,True,0.65,0,787,10.0
151,4.0,0.25,False,0.65,0,787,10.0
152,5.0,0.28300000000000003,True,0.65,0,787,10.0
153,0.0,0.287,False,0.65,0,787,10.0
154,1.0,0.25,True,0.65,0,787,10.0
155,2.0,0.275,False,0.65,0,787,10.0
156,3.0,0.313,False,0.65,0,787,10.0
157,4.0,0.264,True,0.65,0,787,10.0
158,5.0,0.269,True,0.65,0,787,10.0
159,6.0,0.25,True,0.65,0,787,10.0
160,7.0,0.253,True,0.65,0,787,10.0
161,8.0,0.25,True,0.65,0,787,10.0
162,9.0,0.287,True,0.65,0,787,10.0
163,10.0,0.25,True,0.65,0,787,10.0
164,11.0,0.25,True,0.65,0,787,10.0
165,0.0,0.28600000000000003,False,0.65,0,787,10.0
166,1.0,0.475,True,0.65,0,787,10.0
167,2.0,0.25,False,0.65,0,787,10.0
168,3.0,0.311,True,0.65,0,787,10.0
169,4.0,0.329,True,0.65,0,787,10.0
170,0.0,0.25,True,0.65,0,787,10.0
