trial,epoch_trial,a,v,tr,z,p_optimal,reward_code,subj_id,accuracy,lambda_val,acc_coded_v
34,8.0,0.0708074223423881,0.2222007436871809,0.25,0.05,0.65,0,786,False,10.0,-0.2222007436871809
35,9.0,0.06332577737575874,-0.5494506240534858,0.25,0.05,0.65,0,786,True,10.0,0.5494506240534858
36,10.0,0.0587454760695117,-0.4880115118100481,0.25,0.05,0.65,0,786,False,10.0,0.4880115118100481
37,11.0,0.07837431130754492,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
38,12.0,0.08271029869952094,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
39,13.0,0.08262103537977616,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
40,14.0,-0.04919939467770876,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
41,15.0,0.02780886876614304,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
42,0.0,0.06815572374019888,-0.9740183402229254,0.25,0.05,0.65,0,786,False,10.0,0.9740183402229254
43,1.0,0.07553184129025342,0.989159355595103,0.25,0.05,0.65,0,786,True,10.0,0.989159355595103
44,2.0,-0.1621927171077591,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
45,3.0,0.05022568116770005,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
46,4.0,0.05764327034233332,-0.07407031955861876,0.25,0.05,0.65,0,786,False,10.0,0.07407031955861876
47,5.0,0.07120015529331743,0.4151387767431509,0.25,0.05,0.65,0,786,True,10.0,0.4151387767431509
48,6.0,0.030889096829545742,-0.09828790881346161,0.25,0.05,0.65,0,786,True,10.0,0.09828790881346161
49,0.0,0.053771452109953585,0.0932918519442878,0.25,0.05,0.65,0,786,False,10.0,-0.0932918519442878
50,1.0,0.08160326458690502,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
51,2.0,-0.13367070662501515,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
52,3.0,0.061440444155059955,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
53,4.0,0.057939300906881826,0.12727582439337004,0.25,0.05,0.65,0,786,False,10.0,-0.12727582439337004
54,5.0,0.0792267952194869,0.5969492121888549,0.25,0.05,0.65,0,786,False,10.0,-0.5969492121888549
55,6.0,0.05587977896449064,0.0980856963335337,0.25,0.05,0.65,0,786,True,10.0,0.0980856963335337
56,7.0,0.050642938220164725,-0.8097625922912189,0.25,0.05,0.65,0,786,False,10.0,0.8097625922912189
57,8.0,0.07482367281964321,-0.9653970219424469,0.25,0.05,0.65,0,786,True,10.0,0.9653970219424469
58,9.0,0.08019826723161318,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
59,10.0,0.08283911614087808,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
60,0.0,0.08343064581550436,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
61,1.0,-0.02609079565390593,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
62,2.0,0.08004612412924367,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
63,3.0,0.08296264064632167,-0.4811898841318789,0.25,0.05,0.65,0,786,False,10.0,0.4811898841318789
64,4.0,0.07524827372789748,0.03748277072058226,0.25,0.05,0.65,0,786,True,10.0,0.03748277072058226
65,5.0,-0.08808872813155597,0.3664060645473841,0.25,0.05,0.65,0,786,True,10.0,0.3664060645473841
66,6.0,0.06672708645998186,0.2431782009359087,0.25,0.05,0.65,0,786,True,10.0,0.2431782009359087
67,7.0,-0.009789661505363714,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
68,8.0,0.004128507581263749,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
69,9.0,-0.017948277778164448,0.46801352819893305,0.25,0.05,0.65,0,786,True,10.0,0.46801352819893305
70,10.0,-0.04518846746986893,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
71,11.0,0.08075653474233524,0.3792038288352533,0.25,0.05,0.65,0,786,True,10.0,0.3792038288352533
72,0.0,-0.1219331716795353,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
73,1.0,0.044456367075365606,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
74,2.0,0.08222756088752259,0.07197265191194613,0.25,0.05,0.65,0,786,True,10.0,0.07197265191194613
75,3.0,0.07714981292185727,0.9050968504782968,0.25,0.05,0.65,0,786,False,10.0,-0.9050968504782968
76,4.0,0.02738147182584194,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
77,5.0,-0.03373688102761305,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
78,6.0,0.07736820631577174,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
79,7.0,-0.15531067207715896,0.22523431692745666,0.25,0.05,0.65,0,786,False,10.0,-0.22523431692745666
80,0.0,-0.06569418847624969,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
81,1.0,0.07902596379831262,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
82,2.0,0.028362945907964343,0.14650490626860302,0.25,0.05,0.65,0,786,True,10.0,0.14650490626860302
83,3.0,-0.04674874754475444,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
84,4.0,0.07279377150667353,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
85,5.0,0.06937474233860215,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
86,6.0,0.08130477022421712,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
87,7.0,0.0843990042223647,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
88,8.0,-0.003856364035870863,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
89,9.0,0.053657165985066514,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
90,10.0,0.0760302490269228,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
91,0.0,-0.07573328369424431,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
92,1.0,0.07651440213979441,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
93,2.0,0.08323912237443168,0.48882984248979655,0.25,0.05,0.65,0,786,False,10.0,-0.48882984248979655
94,3.0,0.08463161581808437,-0.6070942291311583,0.25,0.05,0.65,0,786,True,10.0,0.6070942291311583
95,4.0,0.04437144987891702,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
96,5.0,0.08276789100017595,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
97,6.0,0.08319097043820506,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
98,7.0,0.08511422642586546,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
99,8.0,0.048088432439696245,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
100,0.0,0.08224422731459166,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
101,1.0,0.08441282230655589,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
102,2.0,-0.022453296712553875,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
103,3.0,0.07103851207464966,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
104,4.0,0.0756437756366818,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
105,5.0,-0.15704145394153043,-0.4488614470308947,0.25,0.05,0.65,0,786,True,10.0,0.4488614470308947
106,6.0,-0.0031084168740915796,0.6180644613158599,0.25,0.05,0.65,0,786,True,10.0,0.6180644613158599
107,7.0,-0.12304192471814729,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
108,8.0,0.07948444925302176,-0.17966921577856398,0.25,0.05,0.65,0,786,True,10.0,0.17966921577856398
109,9.0,0.04738392813415535,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
110,10.0,0.059909565267637736,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
111,11.0,0.07941224825535319,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
112,0.0,0.08327476979654284,-0.1984134257852329,0.25,0.05,0.65,0,786,True,10.0,0.1984134257852329
113,1.0,0.08456807608843685,0.9803442081417107,0.25,0.05,0.65,0,786,False,10.0,-0.9803442081417107
114,2.0,0.07926613747667853,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
115,3.0,0.04575124990961342,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
116,4.0,0.07524270955750172,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
117,5.0,0.08221010092360426,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
118,6.0,0.08415066701914788,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
119,7.0,0.08494928462883536,0.7394661991824476,0.25,0.05,0.65,0,786,False,10.0,-0.7394661991824476
120,8.0,0.08534850581595943,0.3058077821256768,0.25,0.05,0.65,0,786,False,10.0,-0.3058077821256768
121,0.0,0.05255904652938907,-0.24590537774813775,0.25,0.05,0.65,0,786,True,10.0,0.24590537774813775
122,1.0,0.049140776947512725,-0.8862108488591642,0.25,0.05,0.65,0,786,True,10.0,0.8862108488591642
123,2.0,0.07967966163010326,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
124,3.0,0.07309554219961231,-0.26402025754898895,0.25,0.05,0.65,0,786,True,10.0,0.26402025754898895
125,4.0,0.043186700582136105,0.8319462677665737,0.25,0.05,0.65,0,786,True,10.0,0.8319462677665737
126,5.0,0.06804284143817207,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
127,6.0,0.07737735797314435,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
128,7.0,0.08410303434863113,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
129,8.0,0.06190098092103891,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
130,9.0,0.08220229074887779,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
131,10.0,0.08439017709592835,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
132,11.0,-0.11273225577821946,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
133,12.0,0.010448880441040156,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
134,13.0,0.08214017715587908,0.1969100104201147,0.25,0.05,0.65,0,786,True,10.0,0.1969100104201147
135,0.0,0.08175097334307423,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
136,1.0,-0.04408015476275862,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
137,2.0,0.07535498638475975,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
138,3.0,0.08303744815070278,0.5496522161217723,0.25,0.05,0.65,0,786,False,10.0,-0.5496522161217723
139,4.0,0.08455566127857096,-0.5879698653399108,0.25,0.05,0.65,0,786,True,10.0,0.5879698653399108
140,5.0,0.07396353294543204,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
141,6.0,0.03657167835467168,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
142,7.0,0.048992324149599524,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
143,8.0,0.011960044501230074,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
144,9.0,0.053826487128151405,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
145,10.0,-0.09423559798792347,-0.4417672735157194,0.25,0.05,0.65,0,786,False,10.0,0.4417672735157194
146,11.0,0.06145731588555435,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
147,0.0,-0.07126439810063834,-0.8944219021201556,0.25,0.05,0.65,0,786,True,10.0,0.8944219021201556
148,1.0,0.07723655893934538,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
149,2.0,0.0323825366188558,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
150,3.0,0.08131752933759685,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
151,4.0,0.07714670790888742,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
152,5.0,0.022249762539337817,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
153,6.0,-0.030797394034688758,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
154,7.0,0.07109370733667908,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
155,8.0,0.07368130453710411,0.26117164428878126,0.25,0.05,0.65,0,786,True,10.0,0.26117164428878126
156,9.0,0.08328381526171606,0.6521007773693666,0.25,0.05,0.65,0,786,True,10.0,0.6521007773693666
157,0.0,0.0850663431800031,0.4129146979458034,0.25,0.05,0.65,0,786,False,10.0,-0.4129146979458034
158,1.0,0.027470709460804155,0.3926368213826821,0.25,0.05,0.65,0,786,False,10.0,-0.3926368213826821
159,2.0,-0.011192407934562998,0.4255414427823021,0.25,0.05,0.65,0,786,False,10.0,-0.4255414427823021
160,3.0,0.0791893925076648,-0.30383560950384947,0.25,0.05,0.65,0,786,True,10.0,0.30383560950384947
161,4.0,0.058624721885793596,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
162,5.0,-0.09749054796493073,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
163,6.0,0.07740463157188848,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
164,7.0,0.0833734928585024,-0.16969155431454963,0.25,0.05,0.65,0,786,True,10.0,0.16969155431454963
165,8.0,0.055791211328816585,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
166,9.0,0.06869252478799377,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
167,10.0,-0.028464789167836124,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
168,11.0,0.0770969599529263,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
169,12.0,0.08209267887988404,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
170,0.0,0.08337554569818482,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
171,1.0,0.08461293695771928,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
172,2.0,0.08468961640228394,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
173,3.0,0.06477653952597076,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
174,4.0,-0.05720690965094491,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
175,5.0,0.06938207624189921,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
176,0.0,0.06587937593055779,-0.8555512259035751,0.25,0.05,0.65,0,786,True,10.0,0.8555512259035751
177,1.0,0.07617710062176658,0.2614174221982739,0.25,0.05,0.65,0,786,False,10.0,-0.2614174221982739
178,2.0,-0.034134313182489606,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
179,3.0,0.07548154043964518,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
180,4.0,0.007116751766576959,0.5350693556950405,0.25,0.05,0.65,0,786,False,10.0,-0.5350693556950405
181,5.0,0.060243418098801786,-0.6087523087580433,0.25,0.05,0.65,0,786,True,10.0,0.6087523087580433
182,6.0,0.06911517617597525,-0.22627522169832148,0.25,0.05,0.65,0,786,True,10.0,0.22627522169832148
183,0.0,0.07854449442534324,-0.9632227250974106,0.25,0.05,0.65,0,786,False,10.0,0.9632227250974106
184,1.0,0.07547206857243446,-0.917465880157237,0.25,0.05,0.65,0,786,False,10.0,0.917465880157237
185,2.0,0.025468163969540825,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
186,3.0,0.07608696723189434,-0.8291204600387471,0.25,0.05,0.65,0,786,False,10.0,0.8291204600387471
187,4.0,0.08400921529072375,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
188,5.0,0.07852127800006267,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
189,6.0,0.02687569433670893,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
190,7.0,0.04298211649650708,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
191,8.0,0.07542992032799463,-0.6099301347916559,0.25,0.05,0.65,0,786,False,10.0,0.6099301347916559
192,9.0,0.07371148523209031,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
193,0.0,0.026918433069494166,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
194,1.0,0.07543999150754283,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
195,2.0,0.0825986399449449,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
196,3.0,0.07059943715992908,0.5621322944616439,0.25,0.05,0.65,0,786,False,10.0,-0.5621322944616439
197,4.0,0.03740985927881589,-0.12604357257394871,0.25,0.05,0.65,0,786,False,10.0,0.12604357257394871
198,5.0,0.06095093759866914,-0.3542313767164381,0.25,0.05,0.65,0,786,False,10.0,0.3542313767164381
199,6.0,-0.17788590036835264,0.30149455705633355,0.25,0.05,0.65,0,786,False,10.0,-0.30149455705633355
200,7.0,-0.17223844819773318,-0.0347535459163173,0.25,0.05,0.65,0,786,False,10.0,0.0347535459163173
201,8.0,0.08081865056318613,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
202,0.0,0.08396841341286884,-0.31020872418603473,0.25,0.05,0.65,0,786,False,10.0,0.31020872418603473
203,1.0,0.06844611899387752,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
204,2.0,-0.13322032487828725,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
205,3.0,0.057441798431276524,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
206,4.0,0.07625264220219033,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
207,5.0,0.08319378712524693,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
208,6.0,-0.04949851068906319,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
209,7.0,0.05960867121827541,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
210,8.0,0.0769347217196847,-0.020059234567608053,0.25,0.05,0.65,0,786,True,10.0,0.020059234567608053
211,9.0,0.08441474832778054,-0.47290364632088844,0.25,0.05,0.65,0,786,False,10.0,0.47290364632088844
212,10.0,0.044780489757277865,-0.34286149957884404,0.25,0.05,0.65,0,786,True,10.0,0.34286149957884404
213,11.0,-0.06435988053137401,-0.22592968803195324,0.25,0.05,0.65,0,786,True,10.0,0.22592968803195324
214,12.0,-0.007665935571996102,-0.7775065602141228,0.25,0.05,0.65,0,786,True,10.0,0.7775065602141228
215,0.0,-0.00010696305125755534,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
216,1.0,0.010596398942410698,0.3223600238379045,0.25,0.05,0.65,0,786,False,10.0,-0.3223600238379045
217,2.0,0.07803839219506795,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
218,3.0,0.08327040259221505,0.44431365602172646,0.25,0.05,0.65,0,786,False,10.0,-0.44431365602172646
219,4.0,0.08461958925743843,-0.6225207110651332,0.25,0.05,0.65,0,786,True,10.0,0.6225207110651332
220,5.0,0.06806066135063883,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
221,6.0,0.07874584352406842,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
222,7.0,0.08270579098630457,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
223,8.0,0.0800057011637901,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
224,9.0,0.08234752587729938,-0.9763450106518307,0.25,0.05,0.65,0,786,True,10.0,0.9763450106518307
225,10.0,0.02873095461252151,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
226,11.0,0.05571758754122377,-0.9196971733197961,0.25,0.05,0.65,0,786,True,10.0,0.9196971733197961
227,0.0,0.08127691362952758,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
228,1.0,0.0808821659707421,-0.5193186569981156,0.25,0.05,0.65,0,786,False,10.0,0.5193186569981156
229,2.0,0.04327241717786045,-0.36775900438803655,0.25,0.05,0.65,0,786,True,10.0,0.36775900438803655
230,3.0,0.08290148069134391,-0.5352954362308655,0.25,0.05,0.65,0,786,False,10.0,0.5352954362308655
231,4.0,0.07836701043363525,0.06153545796259596,0.25,0.05,0.65,0,786,True,10.0,0.06153545796259596
232,5.0,0.063452316262315,0.5043784853912749,0.25,0.05,0.65,0,786,True,10.0,0.5043784853912749
233,6.0,0.07825970200540068,0.5591966606960705,0.25,0.05,0.65,0,786,True,10.0,0.5591966606960705
234,7.0,-0.08649347249649111,0.013376891137384161,0.25,0.05,0.65,0,786,True,10.0,0.013376891137384161
235,8.0,0.07529363170462412,-0.9291884946797648,0.25,0.05,0.65,0,786,False,10.0,0.9291884946797648
236,9.0,0.0674610137547916,0.4641262852015611,0.25,0.05,0.65,0,786,True,10.0,0.4641262852015611
237,10.0,0.039845378036973494,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
238,11.0,0.027208062872382963,0.8925534082565694,0.25,0.05,0.65,0,786,True,10.0,0.8925534082565694
239,12.0,0.025914894069687486,-0.11331981407306913,0.25,0.05,0.65,0,786,True,10.0,0.11331981407306913
240,0.0,0.026545470254172893,0.45096754262906646,0.25,0.05,0.65,0,786,False,10.0,-0.45096754262906646
241,1.0,0.0814190232708905,-0.4090489176726242,0.25,0.05,0.65,0,786,True,10.0,0.4090489176726242
242,2.0,0.07967327326278392,0.3562126325297079,0.25,0.05,0.65,0,786,False,10.0,-0.3562126325297079
243,3.0,0.08459022143466739,0.8830859060665408,0.25,0.05,0.65,0,786,False,10.0,-0.8830859060665408
244,4.0,0.017353289746276604,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
245,5.0,0.0742239259786904,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
246,6.0,-0.15287031437901352,0.3422332255334142,0.25,0.05,0.65,0,786,False,10.0,-0.3422332255334142
247,7.0,0.07760172732719438,-0.9782614784886177,0.25,0.05,0.65,0,786,True,10.0,0.9782614784886177
248,8.0,0.0782650638073869,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
249,0.0,-0.11484784596766112,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
250,1.0,0.04321686342232507,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
251,2.0,0.027113457483597544,0.008303348827377599,0.25,0.05,0.65,0,786,True,10.0,0.008303348827377599
252,3.0,0.06501444207751389,0.8700525227926512,0.25,0.05,0.65,0,786,True,10.0,0.8700525227926512
253,4.0,0.05383313034024557,0.3030240254690266,0.25,0.05,0.65,0,786,True,10.0,0.3030240254690266
254,5.0,0.07070467993096707,0.6685591118294996,0.25,0.05,0.65,0,786,True,10.0,0.6685591118294996
255,6.0,0.07347946576430563,0.1169812190100179,0.25,0.05,0.65,0,786,True,10.0,0.1169812190100179
256,7.0,0.08393089613159599,0.2357320449724003,0.25,0.05,0.65,0,786,True,10.0,0.2357320449724003
257,8.0,0.06147846494447701,0.8876860913086577,0.25,0.05,0.65,0,786,True,10.0,0.8876860913086577
258,0.0,0.07472874023666554,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
259,1.0,0.084178141133316,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
260,2.0,0.014330017649401158,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
261,3.0,0.07439170518911499,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
262,4.0,0.08255042722073214,0.7152023278373572,0.25,0.05,0.65,0,786,False,10.0,-0.7152023278373572
263,5.0,-0.13073805302014008,-0.26553634303949336,0.25,0.05,0.65,0,786,False,10.0,0.26553634303949336
264,6.0,0.008116730839297578,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
265,7.0,0.06888788141601457,0.6798337271508612,0.25,0.05,0.65,0,786,False,10.0,-0.6798337271508612
266,8.0,0.06552682200144648,-0.05574913888078026,0.25,0.05,0.65,0,786,False,10.0,0.05574913888078026
267,9.0,-0.15482568115279685,0.07580242971606266,0.25,0.05,0.65,0,786,False,10.0,-0.07580242971606266
268,10.0,-0.11248191176500463,-0.5292397836814804,0.25,0.05,0.65,0,786,False,10.0,0.5292397836814804
269,11.0,0.07961336392163693,1.0,0.25,0.05,0.65,0,786,False,10.0,-1.0
270,12.0,-0.1809464085473452,-0.02667610692291933,0.25,0.05,0.65,0,786,False,10.0,0.02667610692291933
271,0.0,-0.1277910558442945,-1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
272,1.0,0.07956435827303747,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
273,2.0,-0.1871961112817204,-0.0673628782963478,0.25,0.05,0.65,0,786,True,10.0,0.0673628782963478
274,3.0,0.07920107417559388,-1.0,0.25,0.05,0.65,0,786,False,10.0,1.0
275,4.0,0.06928152610335617,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
276,5.0,0.08118602332891363,1.0,0.25,0.05,0.65,0,786,True,10.0,1.0
