trial,t1_image,t2_image,LR_solution,iti
50,m1~15-v1.tif,f2~24-v1.tif,76,1.0702160755444012
51,m1~15-v1.tif,f5~57-v1.tif,76,1.119410030651194
52,m4~48-v1.tif,f3~35-v1.tif,76,1.4260130491267238
53,f1~15-v1.tif,m2~26-v1.tif,76,1.0098271292265573
54,m1~17-v1.tif,f5~57-v1.tif,76,1.330969307093374
55,m4~47-v1.tif,f3~34-v1.tif,76,1.1313994316082083
56,f2~24-v1.tif,f1~12-v1.tif,76,1.2886983629942146
57,m2~26-v1.tif,f1~16-v1.tif,76,1.1185572574384952
58,f3~31-v1.tif,m2~28-v1.tif,76,1.105075285765796
59,f5~59-v1.tif,m3~36-v1.tif,76,1.4999279739603681
60,m4~48-v1.tif,m1~15-v1.tif,76,1.3792040115450366
61,m3~34-v1.tif,m5~56-v1.tif,76,1.2059493680021924
62,m4~47-v1.tif,m4~49-v1.tif,76,1.3312080670464683
63,f3~39-v1.tif,f1~12-v1.tif,76,1.0097941812970783
64,m4~47-v1.tif,f3~310-v1.tif,76,1.3651551663393489
65,f5~56-v1.tif,m1~14-v1.tif,76,1.2932977332642013
66,f5~54-v1.tif,m5~54-v1.tif,76,1.3016412508770583
67,f3~31-v1.tif,f4~42-v1.tif,76,1.178959048413103
68,m4~46-v1.tif,m1~14-v1.tif,76,1.2057726341439672
69,f4~42-v1.tif,f1~16-v1.tif,76,1.3923418092706958
70,m2~26-v1.tif,f5~59-v1.tif,76,1.2517737543066692
71,m1~15-v1.tif,m5~56-v1.tif,76,1.4196009930106748
72,m5~54-v1.tif,m4~46-v1.tif,76,1.3928710836432288
73,m1~110-v1.tif,f5~57-v1.tif,76,1.4998645004919355
74,m4~47-v1.tif,m5~54-v1.tif,76,1.4555278210699003
75,m5~56-v1.tif,f2~26-v1.tif,76,1.1556377299261644
76,m4~41-v1.tif,f5~56-v1.tif,76,1.071146550201182
77,m1~110-v1.tif,m1~110-v1.tif,76,1.0924197444600297
78,m2~29-v1.tif,m4~49-v1.tif,76,1.446416190745578
79,f5~54-v1.tif,f5~56-v1.tif,76,1.4736899270526336
80,f2~24-v1.tif,f2~26-v1.tif,76,1.1653835791468403
81,f5~56-v1.tif,f5~59-v1.tif,76,1.2233208851207833
82,f5~51-v1.tif,f1~12-v1.tif,76,1.4074357065577856
83,f3~35-v1.tif,m2~28-v1.tif,76,1.0834691064089752
84,m4~46-v1.tif,m3~32-v1.tif,76,1.1825094330546364
85,m2~27-v1.tif,m3~32-v1.tif,76,1.3555073625495866
86,m4~47-v1.tif,m3~36-v1.tif,76,1.2261544706787202
87,f4~42-v1.tif,f1~16-v1.tif,76,1.474921731400405
88,f3~31-v1.tif,f3~34-v1.tif,76,1.2202248100651767
89,f5~54-v1.tif,m1~14-v1.tif,76,1.1892470330139444
90,m4~41-v1.tif,m2~23-v1.tif,76,1.205046839026742
91,f4~42-v1.tif,f4~45-v1.tif,76,1.21900730045638
92,f1~12-v1.tif,f1~12-v1.tif,76,1.4538998879059133
93,m1~110-v1.tif,m4~49-v1.tif,76,1.0869025993535084
94,m2~29-v1.tif,f5~57-v1.tif,76,1.0634024535298225
95,f2~23-v1.tif,f2~23-v1.tif,76,1.3893710577787677
96,m2~29-v1.tif,f3~310-v1.tif,76,1.3684823455183206
97,m3~34-v1.tif,m3~34-v1.tif,76,1.1291447320232364
98,f3~34-v1.tif,m5~55-v1.tif,76,1.213437894476816
99,f5~56-v1.tif,f3~310-v1.tif,76,1.3225196794062621
100,f5~54-v1.tif,f2~23-v1.tif,76,1.1695795492666483
101,m1~12-v1.tif,m2~28-v1.tif,76,1.0965503495693918
102,f2~26-v1.tif,m2~27-v1.tif,76,1.0945991805270174
103,f3~31-v1.tif,m4~49-v1.tif,76,1.21972350117356
104,f5~51-v1.tif,f1~15-v1.tif,76,1.4317288379207957
105,m4~47-v1.tif,m2~27-v1.tif,76,1.0541015359896302
106,f3~39-v1.tif,f4~43-v1.tif,76,1.1183721473070949
107,m1~17-v1.tif,m2~27-v1.tif,76,1.1613388273704581
108,f5~51-v1.tif,m5~56-v1.tif,76,1.4460409067119429
109,f4~42-v1.tif,m4~49-v1.tif,76,1.0970517506475488
110,f4~45-v1.tif,m3~34-v1.tif,76,1.1126770418352938
111,f3~35-v1.tif,f4~45-v1.tif,76,1.3675147345237555
112,f3~31-v1.tif,f5~51-v1.tif,76,1.4123030117743738
113,f1~15-v1.tif,m1~12-v1.tif,76,1.4004412195674947
114,m5~55-v1.tif,m2~23-v1.tif,76,1.2729788655163687
115,f1~15-v1.tif,f3~39-v1.tif,76,1.0002177183338787
116,m3~34-v1.tif,f3~310-v1.tif,76,1.3753888166125858
117,f4~45-v1.tif,f4~43-v1.tif,76,1.0563645441499139
118,f2~26-v1.tif,m5~54-v1.tif,76,1.4364632827908264
119,m5~55-v1.tif,f1~16-v1.tif,76,1.1691741813465755
120,m4~41-v1.tif,m4~46-v1.tif,76,1.3241263888152464
121,f2~26-v1.tif,m4~49-v1.tif,76,1.4301844036847098
122,f3~39-v1.tif,f1~12-v1.tif,76,1.265607139664958
123,f4~42-v1.tif,f3~34-v1.tif,76,1.3657533579466987
124,f2~24-v1.tif,m2~23-v1.tif,76,1.4402501019741103
125,m1~17-v1.tif,f2~23-v1.tif,76,1.0827132190730173
126,m1~14-v1.tif,m4~48-v1.tif,76,1.3576394361642032
127,f2~26-v1.tif,m4~46-v1.tif,76,1.1214156551938388
128,m1~12-v1.tif,f1~12-v1.tif,76,1.1765042525899547
129,f5~59-v1.tif,f5~59-v1.tif,76,1.2967299884031378
130,f2~23-v1.tif,f5~57-v1.tif,76,1.0633014422161353
131,m2~29-v1.tif,m1~110-v1.tif,76,1.2516650360984722
132,f5~51-v1.tif,m4~49-v1.tif,76,1.1868580665799375
133,f3~31-v1.tif,m1~15-v1.tif,76,1.0505847845915413
134,f5~51-v1.tif,m2~28-v1.tif,76,1.03393074071335
135,f5~54-v1.tif,m1~15-v1.tif,76,1.216504840817451
136,m1~110-v1.tif,m3~34-v1.tif,76,1.179854912975038
137,f3~31-v1.tif,m1~15-v1.tif,76,1.4023163334742739
138,m3~36-v1.tif,m2~23-v1.tif,76,1.4453453986270608
139,m2~23-v1.tif,m2~28-v1.tif,76,1.375225671194003
